Index, Adresse_complète                                                          , Auteur                                     , Date              , Note, Commentaire                                                                                                                                                                                                                                                                                                             , lat    , lng    , Ville
2    , Gendarmerie Nationale rue Gallois de Fougières 5000 GAP                   , Malet Aymeric                              , il y a 2 ans      , 1   , Cycliste je me suis fait arrter sur la route dAncelle vers 15h10 par lun de vos agents parce que lon roulait  2 de front et que mme si nous nous sommes resserrs rapidement pour laisser le passage 2 cyclistes roulant de front est                                                                                    ,        ,        , GAP
1    , Gendarmerie Nationale 27 rue Massey 65000 TARBES                          , papayayou                                  , il y a un an      , 5   , On y a pass une nuitPoint ngatif  Le service laisse a dsirer luminosit mdiocre espace                                                                                                                                                                                                                                   , 43.23  , 0.07   , TARBES
2    , Gendarmerie Nationale 27 rue Massey 65000 TARBES                          , Marie-ange Bertin                          , il y a un an      , 1   ,                                                                                                                                                                                                                                                                                                                         , 43.23  , 0.07   , TARBES
3    , Gendarmerie Nationale 27 rue Massey 65000 TARBES                          , Dlasquare                                  , il y a 2 ans      , 1   , Nfaste attention tlphonique et surtout trs mauvais humour Vraiment nulle                                                                                                                                                                                                                                                , 43.23  , 0.07   , TARBES
1    , Gendarmerie Nationale 25 av Guynemer 66000 PERPIGNAN                      , Julie HUMEZ                                , il y a 7 mois     , 1   ,                                                                                                                                                                                                                                                                                                                         , 42.6986, 2.8956 , PERPIGNAN
2    , Gendarmerie Nationale 25 av Guynemer 66000 PERPIGNAN                      , François Lemonnier                         , il y a 9 mois     , 1   , Hier soir aprs Minuit une de nos amies de 19 ans sest perdue dans Argeles seule sans tlphone et alcoolise Apres presque 1h  sa recherche toujours aucune nouvelle Inquiets pour elle apres notamment avoir croiss des individus au                                                                                      , 42.6986, 2.8956 , PERPIGNAN
3    , Gendarmerie Nationale 25 av Guynemer 66000 PERPIGNAN                      , Sheryne.212 0.0                            , il y a 2 ans      , 1   , Jai ete verbalis pour non respect du confinement dans un parc  enfant  avec ma fille  de 4ans que les gens  ct aller au Burger King  Merci pour votre professionnalisme et compassion monsieurs bravo Emmanuel Macron vous remercie                                                                                     , 42.6986, 2.8956 , PERPIGNAN
1    , Gendarmerie Nationale 12 rue Benjamin Franklin 78000 VERSAILLES           , Internaute Paris                           , il y a 11 mois    , 1   , Cet aprsmidi 14 juin 2022 un peloton de gendarmes se rendait depuis la caserne  la gare de Versailles Chantiers jai remarqu que le dernier de peloton se dandinait un peu en passant devant moi Aprs le passage du groupe un remugle                                                                                    , 48.8053, 2.135  , VERSAILLES
2    , Gendarmerie Nationale 12 rue Benjamin Franklin 78000 VERSAILLES           , Alex 78                                    , il y a 11 mois    , 5   , Jy suis alle aujourdhui pour valider ma procuration pour les votes du 12 et 19 juinJai t trs bien accueillie par deux jeunes gendarmes adorables je vous remercie pour votre accueil                                                                                                                                    , 48.8053, 2.135  , VERSAILLES
3    , Gendarmerie Nationale 12 rue Benjamin Franklin 78000 VERSAILLES           , Titan The Reaper                           , il y a un an      , 1   , Venu me chercher tt le matin Le chauffeur ntait pas trs cordial Arriv a la chambre le lit tait dur et le chauffage dfaillant Les animateurs posent des tas de questions personnelles je ne recommande pas                                                                                                               , 48.8053, 2.135  , VERSAILLES
4    , Gendarmerie Nationale 12 rue Benjamin Franklin 78000 VERSAILLES           , BRIGITTE MARC                              , il y a 2 ans      , 5   , Pour la premire fois je suis alle  la gendarmerie pour dposer une procuration accueil trs sympathique et les gendarmes extrmement gentilles avec des explications trs claires                                                                                                                                           , 48.8053, 2.135  , VERSAILLES
