Index;Adresse;Auteur;Date;Note;Commentaire
2;Gendarmerie Nationale 27 rue Massey 65000 TARBES;Marie-ange Bertin;il y a un an;1;
3;Gendarmerie Nationale 27 rue Massey 65000 TARBES;Dlasquare;il y a 2 ans;1;
1;Gendarmerie Nationale 25 av Guynemer 66000 PERPIGNAN;Julie HUMEZ;il y a 7 mois;1;
2;Gendarmerie Nationale 25 av Guynemer 66000 PERPIGNAN;Fran�ois Lemonnier;il y a 9 mois;1;Hier soir apres Minuit une de nos amies de 19 ans s est perdue dans Argeles seule sans telephone et alcoolise Apres presque 1h  sa recherche toujours aucune nouvelle Inquiets pour elle apres notamment avoir croiss des individus au 
1;Gendarmerie Nationale 12 rue Benjamin Franklin 78000 VERSAILLES;Internaute Paris;il y a 11 mois;1;
2;Gendarmerie Nationale 12 rue Benjamin Franklin 78000 VERSAILLES;Alex 78;il y a 11 mois;5;J y suis alle aujourdhui pour valider ma procuration pour les votes du 12 et 19 juinj ai ete tres bien accueillie par deux jeunes gendarmes adorables je vous remercie pour votre accueil
3;Gendarmerie Nationale 12 rue Benjamin Franklin 78000 VERSAILLES;Titan The Reaper;il y a un an;1;
4;Gendarmerie Nationale 12 rue Benjamin Franklin 78000 VERSAILLES;BRIGITTE MARC;il y a 2 ans;5;Pour la premiere fois je suis alle  la gendarmerie pour deposer une procuration accueil tres sympathique et les gendarmes extremement gentilles avec des explications tres claires 
1;Gendarmerie Nationale 12 place de la Tour d�Auvergne 29000 QUIMPER;Fabien Milliasseau;il y a un an;5;
2;Gendarmerie Nationale 12 place de la Tour d�Auvergne 29000 QUIMPER;Vincent CHESNAIS;il y a 2 ans;5;
3;Gendarmerie Nationale 12 place de la Tour d�Auvergne 29000 QUIMPER;Christophe Kerboul;il y a 2 ans;5;
1;Gendarmerie Nationale 2 rue du Colonel Arnaud Beltrame 56000 VANNES;Guide de BRETAGNE;il y a 7 mois;1;
2;Gendarmerie Nationale 2 rue du Colonel Arnaud Beltrame 56000 VANNES;Alain Samson;il y a 11 mois;1;
